districtid,monthid,cases
101,1,0
101,2,2
101,3,2
101,4,12
101,5,83
101,6,121
102,1,0
102,2,419
102,3,218
102,4,377
102,5,786
102,6,1116
103,1,0
103,2,4464
103,3,9317
103,4,7133
103,5,5097
103,6,4159
104,1,0
104,2,28
104,3,162
104,4,622
104,5,9552
104,6,13611
105,1,0
105,2,0
105,3,21
105,4,63
105,5,277
105,6,265
106,1,0
106,2,112
106,3,169
106,4,356
106,5,1928
106,6,1871
107,1,0
107,2,163
107,3,787
107,4,896
107,5,1184
107,6,1265
108,1,0
108,2,0
108,3,115
108,4,525
108,5,2134
108,6,3506
109,1,0
109,2,50
109,3,182
109,4,505
109,5,1454
109,6,2821
110,1,0
110,2,0
110,3,41
110,4,164
110,5,584
110,6,1875
111,1,0
111,2,0
111,3,0
111,4,13
111,5,198
111,6,479
112,1,0
112,2,1
112,3,72
112,4,127
112,5,163
112,6,377
113,1,0
113,2,25
113,3,215
113,4,961
113,5,4171
113,6,2820
114,1,0
114,2,29
114,3,110
114,4,355
114,5,1753
114,6,2135
115,1,0
115,2,2
115,3,97
115,4,41
115,5,304
115,6,512
116,1,0
116,2,11
116,3,204
116,4,101
116,5,378
116,6,778
117,1,0
117,2,69
117,3,235
117,4,499
117,5,2199
117,6,2724
118,1,0
118,2,1
118,3,20
118,4,128
118,5,582
118,6,696
119,1,0
119,2,284
119,3,294
119,4,470
119,5,1451
119,6,2127
120,1,0
120,2,7
120,3,46
120,4,148
120,5,734
120,6,887
121,1,0
121,2,31
121,3,44
121,4,174
121,5,280
121,6,262
122,1,0
122,2,65
122,3,285
122,4,2887
122,5,22407
122,6,18850
123,1,0
123,2,97
123,3,339
123,4,304
123,5,824
123,6,887
124,1,0
124,2,15
124,3,24
124,4,94
124,5,310
124,6,701
125,1,0
125,2,0
125,3,0
125,4,4
125,5,29
125,6,19
126,1,0
126,2,3
126,3,23
126,4,5
126,5,59
126,6,390
127,1,0
127,2,4
127,3,81
127,4,95
127,5,1135
127,6,2273
128,1,0
128,2,58
128,3,57
128,4,117
128,5,84
128,6,130
129,1,0
129,2,333
129,3,53
129,4,122
129,5,919
129,6,1601
130,1,0
130,2,8
130,3,58
130,4,96
130,5,695
130,6,551
131,1,0
131,2,2
131,3,38
131,4,23
131,5,61
131,6,142
132,1,32
132,2,48
132,3,3614
132,4,13113
132,5,47600
132,6,59516
133,1,0
133,2,8
133,3,35
133,4,65
133,5,503
133,6,776
134,1,0
134,2,16
134,3,99
134,4,206
134,5,1189
134,6,1429
135,1,0
135,2,630
135,3,1777
135,4,5760
135,5,8673
135,6,7716
136,1,0
136,2,0
136,3,155
136,4,288
136,5,1269
136,6,2148
137,1,0
137,2,1
137,3,155
137,4,189
137,5,1494
137,6,1587
138,1,0
138,2,44
138,3,31
138,4,300
138,5,2943
138,6,3539
139,1,0
139,2,0
139,3,40
139,4,55
139,5,70
139,6,139
140,1,0
140,2,10
140,3,99
140,4,327
140,5,243
140,6,268
141,1,0
141,2,17
141,3,85
141,4,55
141,5,943
141,6,1159
142,1,0
142,2,0
142,3,12
142,4,39
142,5,122
142,6,175
143,1,0
143,2,2
143,3,127
143,4,132
143,5,462
143,6,1258
144,1,0
144,2,80
144,3,112
144,4,317
144,5,969
144,6,2722
145,1,0
145,2,4
145,3,151
145,4,1514
145,5,9678
145,6,12044
146,1,0
146,2,1
146,3,59
146,4,337
146,5,2218
146,6,1652
147,1,0
147,2,0
147,3,41
147,4,26
147,5,44
147,6,556
148,1,0
148,2,0
148,3,122
148,4,172
148,5,200
148,6,574
149,1,0
149,2,0
149,3,34
149,4,120
149,5,93
149,6,132
150,1,0
150,2,1
150,3,49
150,4,67
150,5,352
150,6,634
151,1,0
151,2,0
151,3,27
151,4,57
151,5,76
151,6,327
152,1,0
152,2,54
152,3,66
152,4,188
152,5,467
152,6,453
153,1,0
153,2,18
153,3,11
153,4,40
153,5,303
153,6,679
154,1,0
154,2,10
154,3,99
154,4,132
154,5,803
154,6,1162
155,1,0
155,2,9
155,3,141
155,4,147
155,5,875
155,6,624
156,1,0
156,2,0
156,3,176
156,4,140
156,5,876
156,6,1889
157,1,0
157,2,6
157,3,22
157,4,14
157,5,227
157,6,357
158,1,0
158,2,6
158,3,207
158,4,409
158,5,1151
158,6,2338
159,1,0
159,2,48
159,3,394
159,4,815
159,5,912
159,6,757
160,1,0
160,2,3
160,3,59
160,4,14
160,5,225
160,6,464
161,1,0
161,2,5
161,3,99
161,4,480
161,5,3424
161,6,3201
162,1,0
162,2,0
162,3,18
162,4,153
162,5,529
162,6,2327
163,1,0
163,2,6
163,3,109
163,4,580
163,5,1117
163,6,515
164,1,0
164,2,19
164,3,8
164,4,45
164,5,403
164,6,811
165,1,0
165,2,2
165,3,36
165,4,125
165,5,731
165,6,308
166,1,0
166,2,0
166,3,5
166,4,59
166,5,264
166,6,690
167,1,0
167,2,18
167,3,210
167,4,171
167,5,1021
167,6,1186
168,1,0
168,2,40
168,3,16
168,4,85
168,5,770
168,6,1945
169,1,0
169,2,0
169,3,68
