districtid,cases
101,220
102,2916
103,30170
104,23975
105,626
106,4436
107,4295
108,6280
109,5012
110,2664
111,690
112,740
113,8192
114,4382
115,956
116,1472
117,5726
118,1427
119,4626
120,1822
121,791
122,44494
123,2451
124,1144
125,52
126,480
127,3588
128,446
129,3028
130,1408
131,266
132,123923
133,1387
134,2939
135,24556
136,3860
137,3426
138,6857
139,304
140,947
141,2259
142,348
143,1981
144,4200
145,23391
146,4267
147,667
148,1068
149,379
150,1103
151,487
152,1228
153,1051
154,2206
155,1796
156,3081
157,626
158,4111
159,2926
160,765
161,7209
162,3027
163,2327
164,1286
165,1202
166,1018
167,2606
168,2856
169,5428
170,5582
171,14169
172,5566
173,144628
174,789
175,1184
176,3171
177,5921
178,1554
179,3653
180,1652
181,3035
182,2228
183,648
184,1620
185,3690
186,11022
187,4862
188,595
189,1987
190,4716
191,2627
192,381
193,2333
194,2165
195,533
196,792
197,1746
198,2783
199,2483
200,3940
201,697
202,577
203,3019
204,2612
205,478
206,398
207,398
208,16
209,2156
210,5502
211,3581
212,525
213,315
214,883
215,140157
216,695
217,502
218,345
219,4798
220,4966
221,3657
222,770
223,41561
224,998
225,1077
226,18269
227,3634
228,13643
229,10042
230,1200
231,1270
232,488
233,4033
234,14587
235,1089
236,762
237,71
238,2471
239,5471
240,780
241,632
242,10975
243,5113
244,188186
245,246
246,1430
247,4270
248,333
249,772
250,1438
251,574
252,3340
253,984
254,1420
255,12710
256,1938
257,2333
258,9157
259,1862
260,7074
261,184
262,248
263,493
264,718
265,1140
266,4466
267,5423
268,102
269,65665
270,56
271,227
272,1879
273,320
274,8482
275,7058
276,3658
277,1050
278,2402
279,13577
280,1445
281,1466
282,1122
283,1191
284,1458
285,1078
286,2022
287,1659
288,6299
289,919
290,2960
291,1657
292,2597
293,713
294,18544
295,1277
296,443
297,8569
298,4865
299,9015
300,3074
301,1046
302,2331
303,20455
304,916
305,1747
306,2786
307,2132
308,2950
309,10556
310,1012
311,372
312,39218
313,2756
314,12978
315,6210
316,638
317,699
318,432
319,1836
320,492
321,2838
322,5425
323,9742
324,687
325,5077
326,2080
327,1703
328,2810
329,8347
330,588
331,1863
