districtid,monthid,neighbormean,neighborstdev
101,1,0,0.0
101,2,39.4,62.17
101,3,185.2,184.67
101,4,88,35.21
101,5,355,91.31
101,6,562.6,257.3
102,1,0,0.0
102,2,25.67,32.5
102,3,168.67,217.97
102,4,438.89,326.0
102,5,564.22,295.7
102,6,706.67,395.8
103,1,0,0.0
103,2,48.71,33.61
103,3,95.71,91.34
103,4,257.43,131.29
103,5,655.14,349.05
103,6,505,338.92
104,1,0,0.0
104,2,851.43,897.94
104,3,3687.57,4715.6
104,4,12439.29,16135.65
104,5,22625.86,26240.37
104,6,22826.57,24737.38
105,1,4.86,11.1
105,2,6.86,16.8
105,3,581.14,1244.75
105,4,2053,4534.72
105,5,7147.14,16534.08
105,6,8945.71,20669.66
106,1,0,0.0
106,2,119.5,187.25
106,3,405.5,375.53
106,4,499.33,490.23
106,5,1127.5,888.64
106,6,1574.33,1869.53
107,1,0,0.0
107,2,25,31.12
107,3,116.67,88.29
107,4,309.33,145.0
107,5,1538,572.31
107,6,1925,662.82
108,1,0,0.0
108,2,4.25,2.86
108,3,91.75,25.88
108,4,352.25,69.09
108,5,1720.25,454.88
108,6,2958.5,748.72
109,1,0,0.0
109,2,32.12,40.62
109,3,164.38,181.99
109,4,574.5,758.57
109,5,812,736.22
109,6,952.12,698.22
110,1,10.67,15.08
110,2,15.67,22.87
110,3,1340.33,1608.1
110,4,4540.67,6062.7
110,5,16673.33,21868.66
110,6,21308.33,27016.91
111,1,0,0.0
111,2,14.67,17.89
111,3,27.83,9.87
111,4,96.5,67.72
111,5,450,250.5
111,6,694.5,686.51
112,1,0,0.0
112,2,0.33,0.75
112,3,92.17,102.9
112,4,81.33,78.49
112,5,243.5,341.45
112,6,497.83,531.55
113,1,0,0.0
113,2,94.17,196.72
113,3,364.33,431.82
113,4,615.17,478.0
113,5,1083.17,922.95
113,6,1603.5,1892.7
114,1,0,0.0
114,2,14.67,16.96
114,3,38.5,13.1
114,4,170.83,136.9
114,5,950.33,706.85
114,6,2095.83,1133.0
115,1,0,0.0
115,2,7,6.11
115,3,149,32.48
115,4,253.33,128.88
115,5,1530,784.7
115,6,2183.5,2051.47
116,1,0,0.0
116,2,5.8,3.25
116,3,119.6,55.1
116,4,188.8,138.29
116,5,991.2,235.36
116,6,1490.2,632.71
117,1,0,0.0
117,2,53.5,70.86
117,3,221.7,266.59
117,4,293.6,352.1
117,5,1362.2,2209.26
117,6,3536.2,7656.99
118,1,0,0.0
118,2,28.8,20.35
118,3,43,24.27
118,4,272.6,183.21
118,5,1012.4,670.45
118,6,1040.8,901.23
119,1,0,0.0
119,2,100.67,56.39
119,3,20.33,18.12
119,4,88.67,26.56
119,5,419.33,158.07
119,6,1085,577.93
120,1,0,0.0
120,2,53.83,59.3
120,3,189,63.98
120,4,529.67,236.73
120,5,920.33,474.66
120,6,1376,979.24
121,1,0,0.0
121,2,1213,1882.2
121,3,2579.25,3904.39
121,4,2313,2834.36
121,5,2250.5,1877.8
121,6,1997.25,1630.13
122,1,0,0.0
122,2,63.43,103.93
122,3,135.43,82.22
122,4,1234.71,934.89
122,5,9938,8431.57
122,6,11307.57,7818.51
123,1,0,0.0
123,2,20.22,24.12
123,3,204.33,161.91
123,4,380.78,351.84
123,5,951.33,1344.06
123,6,759,1059.52
124,1,0,0.0
124,2,3.22,5.09
124,3,70.67,57.99
124,4,214.33,255.56
124,5,853.11,720.99
124,6,1927.78,1854.64
125,1,0,0.0
125,2,0,0.0
125,3,28,27.0
125,4,28,26.0
125,5,127,56.0
125,6,154.5,78.5
126,1,0,0.0
126,2,0.67,1.11
126,3,58.83,52.6
126,4,36.33,47.95
126,5,152.17,204.59
126,6,525.5,563.01
127,1,0,0.0
127,2,7,1.87
127,3,151.25,35.32
127,4,149,34.15
127,5,1203,337.73
127,6,1444.5,514.79
128,1,0,0.0
128,2,77.33,85.67
128,3,212.67,129.2
128,4,198,130.09
128,5,497.33,261.88
128,6,463,277.33
129,1,0,0.0
129,2,136.5,152.49
129,3,67,40.12
129,4,735,497.01
129,5,2959.25,1355.2
129,6,3664.25,2843.94
130,1,0,0.0
130,2,31.67,23.36
130,3,150.83,42.23
130,4,425.5,511.73
130,5,3743.83,4005.2
130,6,2447.5,2434.59
131,1,0,0.0
131,2,1.6,1.74
131,3,57.4,88.1
131,4,89,67.36
131,5,310.8,149.09
131,6,621.8,266.93
132,1,0.06,0.34
132,2,0.03,0.17
132,3,29.15,76.09
132,4,73.42,211.07
132,5,269.52,489.23
132,6,348.52,669.72
133,1,0,0.0
133,2,13.5,13.96
133,3,75.75,30.33
133,4,158.25,91.35
133,5,646,160.05
133,6,843,294.84
134,1,0,0.0
134,2,18.75,23.91
134,3,105,64.66
134,4,146.25,85.71
134,5,1739,1002.46
134,6,1159,439.29
135,1,0,0.0
135,2,169.8,235.03
135,3,566.4,515.81
135,4,2214.2,2130.89
135,5,7416.6,4906.97
135,6,11450.6,7729.52
136,1,0,0.0
136,2,10.5,6.58
136,3,152,55.22
136,4,161.17,117.31
136,5,830.5,350.04
136,6,1207.83,599.29
137,1,0,0.0
137,2,4.17,2.48
