districtid,neighbormean,neighborstdev
101,1230.2,511.12
102,1904.11,932.89
103,1562,870.62
104,62430.71,68604.29
105,18738.71,43005.58
106,3726.17,3691.75
107,3914,1490.22
108,5127,1180.97
109,2535.12,2359.21
110,43889,56592.92
111,1283.5,892.96
112,915.17,1047.61
113,3760.33,3724.49
114,3270.17,1952.41
115,4122.83,2946.39
116,2795.6,994.4
117,5467.2,10320.07
118,2397.6,1753.79
119,1714,770.98
120,3068.83,1557.33
121,10353,11819.43
122,22679.14,16776.45
123,2315.67,2781.37
124,3069.11,2812.52
125,337.5,187.5
126,773.5,851.84
127,2954.75,880.15
128,1448.33,807.73
129,7562,4338.14
130,6799.33,6975.21
131,1080.6,401.7
132,720.7,1365.83
133,1736.5,420.12
134,3168,1548.77
135,21817.6,15048.42
136,2362,1006.8
137,3746,3188.45
138,8664,2818.02
139,518,157.15
140,30733.43,64319.08
141,2527.6,1074.84
142,6293.43,12221.86
143,1573.67,857.66
144,3817,2195.48
145,16742.38,17095.28
146,3348.71,874.84
147,2229,1629.6
148,3405.29,5002.07
149,936.88,436.36
150,1975.67,882.79
151,4185.67,5262.7
152,1287,289.52
153,726.14,331.7
154,3606.2,3194.56
155,2179.17,1758.93
156,3846,2623.07
157,825.67,435.88
158,6529,10142.24
159,3522.2,3281.74
160,1977,2067.93
161,3226.2,946.56
162,1673.57,850.85
163,4035,4534.76
164,3853.4,3979.3
165,7740.67,10661.2
166,1559.33,1302.49
167,2408.6,947.56
168,1327,311.2
169,12235.5,8735.06
170,6493,7915.14
171,11522.11,7494.32
172,27766,52281.25
173,3908.33,1270.88
174,1655.6,2042.68
175,6530,3851.61
176,3239,1030.56
177,2495.62,1355.28
178,8623.2,13801.07
179,2575.71,2466.19
180,7888.25,8495.04
181,10710,13765.14
182,1559.83,1310.87
183,2956.71,1761.87
184,1582.86,1081.15
185,6682.83,7065.56
186,759.4,218.91
187,35351.6,51552.65
188,28191.8,55100.8
189,3568.75,1664.32
190,2967.17,4422.4
191,841.33,407.33
192,854.2,428.2
193,2128,1580.9
194,2297.8,567.31
195,8272,11052.9
196,1954.2,857.42
