districtid,weekid,neighbormean,neighborstdev
101,1,0,0.0
101,2,0,0.0
101,3,0,0.0
101,4,0,0.0
101,5,0,0.0
101,6,0,0.0
101,7,11,15.4
101,8,19,30.64
101,9,15,27.06
101,10,50.4,92.37
101,11,65.6,79.08
101,12,37.4,25.82
101,13,28.8,16.56
101,14,30.4,19.32
101,15,15.6,5.46
101,16,11.8,8.35
101,17,22.2,14.08
101,18,61.4,35.6
101,19,70.6,39.59
101,20,90,27.44
101,21,98.8,56.84
101,22,114.8,43.76
101,23,127.2,45.5
101,24,135,47.29
101,25,225.2,162.23
102,1,0,0.0
102,2,0,0.0
102,3,0,0.0
102,4,0,0.0
102,5,0,0.0
102,6,0,0.0
102,7,9.78,16.09
102,8,11.78,17.37
102,9,5.33,5.19
102,10,16.89,13.07
102,11,27.78,27.76
102,12,63.22,110.75
102,13,69.44,92.31
102,14,98.44,110.3
102,15,111.78,80.22
102,16,109.67,102.44
102,17,99.89,100.4
102,18,96.33,72.9
102,19,122.44,84.47
102,20,123.89,81.43
102,21,161.78,74.75
102,22,177.44,104.48
102,23,202.67,134.03
102,24,180,130.25
102,25,215.56,133.43
103,1,0,0.0
103,2,0,0.0
103,3,0,0.0
103,4,0,0.0
103,5,0,0.0
103,6,0,0.0
103,7,14.57,13.74
103,8,24.71,17.55
103,9,16,14.96
103,10,17.71,14.26
103,11,15.71,14.97
103,12,34.43,44.6
103,13,24.57,15.66
103,14,29,25.32
103,15,38.86,21.6
103,16,59.29,20.67
103,17,105.43,67.05
103,18,147.14,88.4
103,19,139.86,75.95
103,20,166.43,82.38
103,21,164,90.19
103,22,138.71,78.57
103,23,129.14,90.96
103,24,135,104.73
103,25,161.43,106.32
104,1,0,0.0
104,2,0,0.0
104,3,0,0.0
104,4,0,0.0
104,5,0,0.0
104,6,0,0.0
104,7,143.43,125.45
104,8,383.86,429.39
104,9,550.71,616.69
104,10,668.71,861.88
104,11,852.57,1124.55
104,12,891.57,1138.38
104,13,1276.71,1641.66
104,14,1634.57,2076.95
104,15,2398.29,3239.15
104,16,3408,4577.98
104,17,4068.29,5153.08
104,18,4778.57,5879.23
104,19,5823.71,7317.76
104,20,5245.86,6313.64
104,21,5315.14,5849.24
104,22,5722.57,5493.82
104,23,6052,6306.95
104,24,6011.29,6942.06
104,25,7204.86,8046.6
105,1,0,0.0
105,2,0.14,0.35
105,3,3.86,9.05
105,4,0.43,1.05
105,5,0.86,2.1
105,6,0.14,0.35
105,7,1,2.45
105,8,2.71,6.65
105,9,5.14,10.7
105,10,39.43,87.93
105,11,128.71,302.82
105,12,193.86,435.3
105,13,255.29,488.07
105,14,242.43,467.45
105,15,318.43,659.15
105,16,581.86,1330.91
105,17,764.29,1760.19
105,18,1031.14,2402.21
105,19,1200.14,2820.59
105,20,1603.14,3694.7
105,21,2416.57,5548.63
105,22,2667.57,6201.04
105,23,2102.57,4826.95
105,24,2169.14,4971.12
105,25,3009.86,6995.65
106,1,0,0.0
106,2,0,0.0
106,3,0,0.0
106,4,0,0.0
106,5,0,0.0
106,6,0,0.0
106,7,32.17,54.35
106,8,50.67,83.91
106,9,75.33,110.7
106,10,108.33,71.99
106,11,104.83,82.08
106,12,77.5,78.11
106,13,93.33,113.28
106,14,97,101.05
106,15,113.67,148.59
106,16,83.17,83.25
106,17,164.83,134.16
106,18,188.83,166.23
106,19,233.17,194.3
106,20,273.5,228.74
106,21,332,256.36
106,22,302,256.16
106,23,420,434.37
106,24,461.67,565.43
106,25,514.17,732.8
107,1,0,0.0
107,2,0,0.0
107,3,0,0.0
107,4,0,0.0
107,5,0,0.0
107,6,0,0.0
107,7,4,4.97
107,8,17.67,23.63
107,9,8,8.49
107,10,24,21.46
107,11,25.33,23.7
107,12,35,31.02
107,13,36.33,6.85
107,14,49.67,22.53
107,15,55.33,25.84
107,16,81.33,47.39
107,17,103.67,47.22
107,18,186.67,96.75
107,19,370.33,132.63
107,20,345,178.92
107,21,458,140.12
107,22,488,173.91
107,23,456.33,224.23
107,24,527,200.67
107,25,642.33,151.27
108,1,0,0.0
108,2,0,0.0
108,3,0,0.0
108,4,0,0.0
108,5,0,0.0
108,6,0,0.0
108,7,3,3.0
108,8,0.25,0.43
108,9,1.5,0.5
108,10,7.75,3.7
108,11,17.75,2.77
108,12,37.5,13.68
108,13,30.5,6.69
108,14,60.5,10.01
108,15,80.5,7.53
108,16,69.25,16.77
108,17,113.25,35.96
108,18,271,105.84
108,19,468.25,182.18
108,20,440.75,41.61
108,21,387.5,207.29
108,22,467.5,181.76
108,23,744.75,248.73
108,24,955,182.5
108,25,970.5,249.95
109,1,0,0.0
109,2,0,0.0
109,3,0,0.0
109,4,0,0.0
109,5,0,0.0
109,6,0,0.0
109,7,10,13.27
109,8,14.75,21.72
109,9,10.75,11.42
109,10,19,22.29
109,11,20.38,21.98
109,12,52.25,64.32
109,13,81,89.46
109,14,119.75,134.57
109,15,131.75,217.1
109,16,121.12,172.75
109,17,167.75,208.32
109,18,182.25,197.38
109,19,180.75,170.37
109,20,194.62,193.47
109,21,192.62,141.84
109,22,210,149.07
109,23,228.75,179.71
109,24,277.12,189.95
109,25,320.5,259.31
110,1,0,0.0
110,2,0,0.0
110,3,8.67,12.26
110,4,1,1.41
110,5,2,2.83
110,6,0.33,0.47
110,7,2.33,3.3
110,8,6,9.2
110,9,10.33,14.61
110,10,84.67,119.74
110,11,303.67,400.57
110,12,461.33,563.96
