districtid,monthid,statemean,statestdev
101,1,0,0
101,2,40.84,40.84
101,3,122.9,122.9
101,4,140.73,140.73
101,5,451.35,451.35
101,6,608.33,608.33
102,1,0,0
102,2,19.81,19.81
102,3,116.76,116.76
102,4,317.34,317.34
102,5,1277.04,1277.04
102,6,1714.68,1714.68
103,1,0,0
103,2,46.94,46.94
103,3,123.22,123.22
103,4,380,380
103,5,818.66,818.66
103,6,799.09,799.09
104,1,0,0
104,2,523.82,523.82
104,3,2206.41,2206.41
104,4,4486.74,4486.74
104,5,7978.41,7978.41
104,6,9834.12,9834.12
105,1,0,0
105,2,0,0
105,3,11,11
105,4,9,9
105,5,16.14,16.14
105,6,24.71,24.71
106,1,0,0
106,2,61.91,61.91
106,3,234.41,234.41
106,4,366.41,366.41
106,5,888.5,888.5
106,6,1009.94,1009.94
107,1,0,0
107,2,534.76,534.76
107,3,2249.42,2249.42
107,4,4595.55,4595.55
107,5,8184.3,8184.3
107,6,10093.79,10093.79
108,1,0,0
108,2,5.08,5.08
108,3,128.69,128.69
108,4,386.62,386.62
108,5,2071.15,2071.15
108,6,3409.31,3409.31
109,1,0,0
109,2,19.4,19.4
109,3,115.86,115.86
109,4,314.77,314.77
109,5,1274.62,1274.62
109,6,1699.52,1699.52
110,1,0,0
110,2,85.73,85.73
110,3,357.41,357.41
110,4,891.14,891.14
110,5,3217.86,3217.86
110,6,3383.45,3383.45
111,1,0,0
111,2,41.66,41.66
111,3,125.36,125.36
111,4,143.28,143.28
111,5,456.42,456.42
111,6,610.92,610.92
112,1,0,0
112,2,1.67,1.67
112,3,131.67,131.67
112,4,140.5,140.5
112,5,561,561
112,6,1096,1096
113,1,0,0
113,2,63.1,63.1
113,3,235.03,235.03
113,4,347.23,347.23
113,5,782.61,782.61
113,6,951.55,951.55
114,1,0,0
114,2,22.29,22.29
114,3,257.62,257.62
114,4,692.9,692.9
114,5,965.19,965.19
114,6,1376.67,1376.67
115,1,0,0
115,2,19.64,19.64
115,3,116.12,116.12
115,4,318.57,318.57
