districtid,statemean,statestdev
101,1337.92,2383.0
102,3445.62,4266.32
103,2167.91,3842.96
104,25029.5,44319.5
105,42.6,56.96
106,2483.55,3027.91
107,25608.32,44173.2
108,6000.85,3898.99
109,3417.3,4262.78
110,7935.59,10584.21
111,1328.88,2386.33
112,1930.83,1932.01
113,2369.73,2878.07
114,3314.67,3452.22
115,3472.11,4256.85
116,3465.14,4260.55
117,25566.24,44192.8
118,3066.12,6200.65
119,2694.24,2721.44
120,3460.41,4262.56
121,3086,6194.34
122,36570.42,12139.51
123,2066.68,2164.67
124,4102.55,4604.17
125,194.44,330.79
126,1332.92,2385.07
127,3837.73,3372.02
128,3096.78,6190.04
129,11184.64,22618.21
130,3896.65,3348.02
131,1337.04,2383.41
132,0,0
133,3466.28,4260.0
134,3855.27,3368.99
135,25012.41,44319.79
136,3432.86,4266.47
137,3438.73,4266.76
138,13167.45,25360.45
139,1967.17,1904.98
140,3472.23,4256.78
141,3454.5,4264.52
142,1335.46,2384.09
143,4073.69,4619.98
144,3997.17,4635.6
145,12597.31,25310.0
146,3427.36,4265.66
147,1567.33,2901.52
148,1552.48,2905.06
149,1578,2897.66
150,3470.12,4257.99
151,1574,2899.23
152,3072.34,6198.9
153,3470.82,4257.6
154,2079.58,2166.19
155,3886.16,3355.18
156,7916.64,10593.25
157,2599,3027.51
158,3429.47,4266.03
159,2041.68,2157.33
160,2594.79,3030.16
161,3387.61,4243.88
162,4037.62,4632.08
163,2547.45,3046.13
164,2853.29,2732.07
165,1319.04,2387.89
166,1554.33,2904.73
167,3449.81,4265.64
168,2778.52,2752.38
169,25575,44188.83
170,3783.84,3359.63
171,12915.31,25385.57
172,13211.97,25348.19
173,8416.72,5101.89
174,1326.98,2386.8
175,3469.03,4258.59
176,4032.66,4633.08
177,3774.68,3354.25
178,25688.94,44131.71
179,2507.27,3040.02
180,3059.09,6202.38
181,3015.88,6207.21
182,2550.45,3045.86
183,1329.69,2386.11
184,3446.19,3437.74
185,3834.97,3372.19
186,1130.19,1963.69
187,13236.24,25340.52
188,1570,2900.66
189,3458.18,4263.37
190,2475.06,3022.02
191,1494.74,2898.62
192,599.73,447.1
193,7950.64,10576.46
194,2067.39,2384.17
195,3094.06,6191.18
196,4114.69,4595.89
197,3461.43,4262.16
198,2049.21,2160.15
199,3451.47,4265.29
200,25618.76,44168.12
201,2596.85,3028.89
202,1331.06,2385.7
203,3853.11,3369.55
204,13313.83,25311.3
205,590.91,450.36
