districtid,weekid,statemean,statestdev
101,1,0,0.0
101,2,0,0.0
101,3,0,0.0
101,4,0,0.0
101,5,0,0.0
101,6,0,0.0
101,7,13.67,53.18
101,8,13.14,41.47
101,9,26.14,89.61
101,10,31,88.34
101,11,29.8,78.72
101,12,26.2,59.31
101,13,27.69,70.1
101,14,21.22,55.39
101,15,24.33,53.52
101,16,32.14,67.73
101,17,50.75,100.6
101,18,89.1,160.79
101,19,100.63,178.92
101,20,111.24,214.38
101,21,108.45,198.97
101,22,122.39,202.98
101,23,145.16,240.11
101,24,176.14,273.19
101,25,215,350.52
102,1,0,0.0
102,2,0,0.0
102,3,0,0.0
102,4,0,0.0
102,5,0,0.0
102,6,0,0.0
102,7,6.08,11.42
102,8,9.18,18.74
102,9,11.11,14.13
102,10,23.24,21.74
102,11,22.35,19.25
102,12,31.59,33.77
102,13,39.61,49.17
102,14,52.76,70.13
102,15,58.99,102.13
102,16,66.53,107.56
102,17,113.85,172.99
102,18,160.09,215.02
102,19,223.97,316.22
102,20,339.04,389.11
102,21,388.72,539.81
102,22,429.81,608.72
102,23,435.14,607.54
102,24,496,635.03
102,25,537.57,747.51
103,1,0,0.0
103,2,0,0.0
103,3,0,0.0
103,4,0,0.0
103,5,0,0.0
103,6,0,0.0
103,7,12.22,28.16
103,8,23.28,43.81
103,9,18.38,40.83
103,10,25.59,48.04
103,11,24.97,57.88
103,12,36.34,91.02
103,13,34.59,89.23
103,14,43.25,105.78
103,15,72.62,206.76
103,16,98.66,255.65
103,17,138.16,323.08
103,18,162.78,320.15
103,19,183.44,339.74
103,20,209.47,342.17
103,21,197.41,309.34
103,22,205.41,312.79
103,23,212.69,318.43
103,24,220.25,342.11
103,25,248.41,375.12
104,1,0,0.0
104,2,0,0.0
104,3,0,0.0
104,4,0,0.0
104,5,0,0.0
104,6,0,0.0
104,7,124.12,498.59
104,8,232.53,782.83
104,9,307.65,1000.85
104,10,484.62,1764.51
104,11,527.38,1694.92
104,12,520.94,1585.3
104,13,633.53,1781.28
104,14,693.15,1771.25
104,15,908.91,2236.58
104,16,1197.71,2824.41
104,17,1358.47,3091.96
104,18,1583.41,3464.55
104,19,1874.47,4116.94
104,20,1849.47,3596.43
104,21,1999.62,3412.68
104,22,2283.06,3361.13
104,23,2461.76,3785.31
104,24,2603.35,4059.54
104,25,3385.35,4800.15
105,1,0,0.0
105,2,0,0.0
105,3,0,0.0
105,4,0,0.0
105,5,0,0.0
105,6,0,0.0
105,7,0,0.0
105,8,0,0.0
105,9,0,0.0
105,10,0,0.0
105,11,0,0.0
105,12,0.43,0.73
105,13,10.57,13.62
105,14,3.57,2.87
105,15,0.57,0.49
105,16,1.86,3.0
105,17,3,3.02
105,18,3.14,2.8
105,19,1.57,2.72
105,20,0.43,0.9
105,21,7.14,9.51
105,22,10.71,20.37
105,23,10.57,19.13
105,24,4.29,5.42
105,25,3,4.07
106,1,0,0.0
106,2,0,0.0
106,3,0,0.0
106,4,0,0.0
106,5,0,0.0
106,6,0,0.0
106,7,16.97,48.76
106,8,26.44,62.01
106,9,37.41,71.25
106,10,54.34,69.26
106,11,56.84,72.85
106,12,52.44,85.04
106,13,61.88,99.95
106,14,65.28,87.94
106,15,72.94,97.54
106,16,75.66,81.53
106,17,123.69,165.59
106,18,138.66,194.9
106,19,197.16,293.75
106,20,232.5,308.84
106,21,234.69,273.5
106,22,251.66,275.33
106,23,268.84,331.7
106,24,280.5,410.11
106,25,313.28,442.09
107,1,0,0.0
107,2,0,0.0
107,3,0,0.0
107,4,0,0.0
107,5,0,0.0
107,6,0,0.0
107,7,123.71,498.68
107,8,230.29,783.33
107,9,305.26,1001.45
107,10,480.59,1765.46
107,11,522.62,1696.07
107,12,517.74,1586.08
107,13,628.15,1782.77
107,14,689.15,1772.57
107,15,904.32,2238.15
107,16,1196.12,2824.97
107,17,1360.26,3091.32
107,18,1590.53,3461.94
107,19,1913.09,4108.24
107,20,1910.53,3587.41
107,21,2088.12,3405.77
107,22,2391.68,3355.47
107,23,2555.44,3768.24
107,24,2703.5,4043.97
107,25,3497.24,4776.94
108,1,0,0.0
108,2,0,0.0
108,3,0,0.0
108,4,0,0.0
108,5,0,0.0
108,6,0,0.0
108,7,2.38,2.24
108,8,0.46,0.93
108,9,6.15,6.05
108,10,15.08,13.11
108,11,30.08,23.01
108,12,42.85,21.4
108,13,42.62,28.48
108,14,45.62,19.17
108,15,71.08,35.0
108,16,80.31,47.24
108,17,154.69,108.2
108,18,297.85,277.33
108,19,456.92,313.38
108,20,483.77,287.73
108,21,590.46,493.4
108,22,696.77,563.05
108,23,955.77,833.44
108,24,1080.77,657.51
108,25,947.23,556.23
109,1,0,0.0
109,2,0,0.0
109,3,0,0.0
109,4,0,0.0
109,5,0,0.0
109,6,0,0.0
109,7,7.92,21.39
109,8,11.78,29.55
109,9,11.81,15.35
109,10,23.03,21.51
109,11,22.43,19.27
109,12,31.92,33.97
109,13,39.8,49.31
109,14,52.93,70.26
109,15,58.31,102.02
109,16,65.99,107.38
109,17,113.35,172.94
109,18,159.2,215.14
109,19,222.8,316.4
109,20,337.54,389.36
109,21,384.55,539.87
109,22,425.54,609.09
109,23,429.18,607.7
109,24,488.38,633.99
109,25,530.84,745.33
110,1,0,0.0
110,2,0,0.0
110,3,0,0.0
110,4,0,0.0
110,5,0,0.0
110,6,0,0.0
110,7,0,0.0
110,8,62.86,161.12
110,9,35.73,81.52
110,10,39.27,80.89
