districtid,monthid,neighborhoodzscore,statezscore
101,1,0,0
101,2,-0.6,-0.27
101,3,-0.99,-0.39
101,4,-2.16,-0.45
101,5,-2.98,-0.46
101,6,-1.72,-0.5
102,1,0,0
102,2,12.1,11.72
102,3,0.23,0.99
102,4,-0.19,0.13
102,5,0.75,-0.3
102,6,1.03,-0.26
103,1,0,0
103,2,131.37,46.42
103,3,100.96,31.97
103,4,52.37,7.18
103,5,12.73,3.09
103,6,10.78,2.77
104,1,0,0
104,2,-0.92,-0.28
104,3,-0.75,-0.29
104,4,-0.73,-0.37
104,5,-0.5,0.1
104,6,-0.37,0.26
105,1,-0.44,0
105,2,-0.41,0
105,3,-0.45,0.7
105,4,-0.44,8.7
105,5,-0.42,14.75
105,6,-0.42,5.97
106,1,0,0
106,2,-0.04,0.37
106,3,-0.63,-0.22
106,4,-0.29,-0.02
106,5,0.9,0.95
106,6,0.16,0.66
107,1,0,0
107,2,4.43,-0.21
107,3,7.59,-0.21
107,4,4.05,-0.35
107,5,-0.62,-0.46
107,6,-1.0,-0.6
108,1,0,0
108,2,-1.49,-1.47
108,3,0.9,-0.2
108,4,2.5,0.79
108,5,0.91,0.04
108,6,0.73,0.04
109,1,0,0
109,2,0.44,0.9
109,3,0.1,0.64
109,4,-0.09,0.41
109,5,0.87,0.11
109,6,2.68,0.48
110,1,-0.71,0
110,2,-0.69,-0.41
110,3,-0.81,-0.63
110,4,-0.72,-0.48
110,5,-0.74,-0.54
110,6,-0.72,-0.41
111,1,0,0
111,2,-0.82,-0.29
111,3,-2.82,-0.4
111,4,-1.23,-0.46
111,5,-1.01,-0.32
111,6,-0.31,-0.13
112,1,0,0
112,2,0.89,-0.21
112,3,-0.2,-0.47
112,4,0.58,-0.1
112,5,-0.24,-0.6
112,6,-0.23,-0.66
113,1,0,0
113,2,-0.35,-0.28
113,3,-0.35,-0.07
113,4,0.72,1.44
113,5,3.35,3.64
113,6,0.64,1.45
114,1,0,0
114,2,0.84,0.19
114,3,5.46,-0.25
114,4,1.35,-0.29
114,5,1.14,0.71
114,6,0.03,0.86
115,1,0,0
115,2,-0.82,-0.51
115,3,-1.6,-0.18
115,4,-1.65,-0.59
115,5,-1.56,-0.59
115,6,-0.81,-0.52
116,1,0,0
116,2,1.6,-0.25
116,3,1.53,0.86
116,4,-0.63,-0.47
116,5,-2.61,-0.55
116,6,-1.13,-0.41
117,1,0,0
117,2,0.22,-0.26
117,3,0.05,-0.29
117,4,0.58,-0.39
117,5,0.38,-0.4
117,6,-0.11,-0.51
118,1,0,0
118,2,-1.37,-0.49
118,3,-0.95,-0.37
118,4,-0.79,-0.27
118,5,-0.64,-0.17
118,6,-0.38,-0.09
119,1,0,0
119,2,3.25,5.54
119,3,15.1,6.22
119,4,14.36,0.93
119,5,6.53,0.67
119,6,1.8,0.36
120,1,0,0
120,2,-0.79,-0.37
120,3,-2.24,-0.67
120,4,-1.61,-0.37
120,5,-0.39,-0.34
120,6,-0.5,-0.36
121,1,0,0
121,2,-0.63,-0.18
121,3,-0.65,-0.29
121,4,-0.75,-0.23
121,5,-1.05,-0.4
121,6,-1.06,-0.45
122,1,0,0
122,2,0.02,-0.11
122,3,1.82,1.24
122,4,1.77,1.96
122,5,1.48,0.9
122,6,0.96,0.03
123,1,0,0
123,2,3.18,3.8
123,3,0.83,1.14
123,4,-0.22,0.05
123,5,-0.09,0.06
123,6,0.12,0.08
124,1,0,0
124,2,2.31,0.01
124,3,-0.8,-0.75
124,4,-0.47,-0.41
124,5,-0.75,-0.49
124,6,-0.66,-0.68
125,1,0,0
125,2,0,0
125,3,-1.04,-0.31
125,4,-0.92,-0.25
125,5,-1.75,-0.31
125,6,-1.73,-0.6
126,1,0,0
126,2,2.1,-0.27
126,3,-0.68,-0.33
126,4,-0.65,-0.49
126,5,-0.46,-0.5
126,6,-0.24,-0.23
127,1,0,0
127,2,-1.6,-0.9
127,3,-1.99,-0.94
127,4,-1.58,-0.7
127,5,-0.2,-0.39
127,6,1.61,0.58
128,1,0,0
128,2,-0.23,0.09
128,3,-1.2,-0.25
128,4,-0.62,-0.29
128,5,-1.58,-0.54
128,6,-1.2,-0.57
129,1,0,0
129,2,1.29,0.16
129,3,-0.35,-0.2
129,4,-1.23,-0.32
129,5,-1.51,-0.63
129,6,-0.73,-0.48
130,1,0,0
130,2,-1.01,-0.66
130,3,-2.2,-1.38
130,4,-0.64,-0.71
130,5,-0.76,-0.63
130,6,-0.78,-0.8
131,1,0,0
131,2,0.23,-0.28
131,3,-0.22,-0.29
131,4,-0.98,-0.43
131,5,-1.68,-0.5
131,6,-1.8,-0.49
132,1,93.94,0
132,2,282.18,0
132,3,47.11,0
132,4,61.78,0
132,5,96.74,0
132,6,88.35,0
133,1,0,0
133,2,-0.39,-0.35
133,3,-1.34,-0.79
133,4,-1.02,-0.55
133,5,-0.89,-0.48
133,6,-0.23,-0.41
134,1,0,0
134,2,-0.12,-0.16
134,3,-0.09,-0.7
134,4,0.7,-0.29
134,5,-0.55,-0.38
134,6,0.61,-0.11
135,1,0,0
135,2,1.96,0.04
135,3,2.35,-0.08
135,4,1.66,0.1
135,5,0.26,0.02
135,6,-0.48,-0.18
136,1,0,0
136,2,-1.6,-0.58
136,3,0.05,0.37
136,4,1.08,-0.08
136,5,1.25,-0.03
136,6,1.57,0.17
137,1,0,0
137,2,-1.28,-0.56
137,3,-0.03,0.37
137,4,-0.32,-0.29
137,5,0.05,0.1
137,6,-0.15,-0.07
138,1,0,0
138,2,1.22,1.44
138,3,-0.98,-0.65
138,4,-0.02,-0.25
138,5,-0.34,-0.21
138,6,-0.72,-0.27
139,1,0,0
139,2,-0.7,-0.57
139,3,-1.08,-0.77
139,4,-0.13,-0.7
139,5,-0.83,-0.79
139,6,-2.24,-0.96
140,1,-0.41,0
140,2,-0.43,-0.31
140,3,-0.42,-0.16
140,4,-0.43,-0.01
140,5,-0.5,-0.63
140,6,-0.53,-0.62
141,1,0,0
141,2,1.42,-0.11
141,3,-0.01,-0.29
141,4,-0.61,-0.57
141,5,0.48,-0.23
141,6,-0.57,-0.26
142,1,0,0
142,2,-0.43,-0.3
142,3,-0.55,-0.37
142,4,-0.57,-0.38
142,5,-0.46,-0.43
142,6,-0.49,-0.46
143,1,0,0
143,2,0.89,-0.31
143,3,4.79,0.32
143,4,1.14,-0.35
143,5,0.44,-0.42
143,6,0.24,-0.47
144,1,0,0
144,2,8.49,1.68
144,3,0.08,0.17
144,4,1.06,-0.04
144,5,0.01,-0.15
144,6,0.13,0.09
145,1,0,0
145,2,-0.55,-0.5
145,3,0.02,-0.16
145,4,0.61,0.13
145,5,0.2,0.46
145,6,0.65,0.45
146,1,0,0
146,2,-0.89,-0.56
146,3,-1.78,-0.54
146,4,1.15,0.0
146,5,1.1,0.51
146,6,0.63,-0.05
147,1,0,0
147,2,-0.58,-0.37
147,3,0.32,-0.22
147,4,-0.95,-0.59
147,5,-1.19,-0.42
147,6,-0.88,-0.27
148,1,0,0
148,2,-0.4,-0.38
148,3,0.79,1.55
148,4,0.06,0.59
148,5,-0.43,-0.2
148,6,-0.52,-0.27
149,1,0,0
149,2,-0.54,-0.39
149,3,-0.37,-0.32
149,4,2.54,0.18
149,5,-0.92,-0.36
149,6,-1.96,-0.49
150,1,0,0
150,2,-1.91,-0.57
150,3,-0.91,-0.64
150,4,-0.77,-0.55
150,5,-1.05,-0.56
150,6,-0.87,-0.47
151,1,0,0
151,2,-0.75,-0.4
151,3,-2.06,-0.48
151,4,-0.76,-0.31
151,5,-0.68,-0.39
151,6,-0.69,-0.41
152,1,0,0
152,2,1.47,0.05
152,3,-1.02,-0.22
152,4,-0.54,-0.22
152,5,-0.21,-0.28
152,6,0.42,-0.32
153,1,0,0
153,2,4.75,-0.1
153,3,-1.27,-1.01
153,4,-0.38,-0.61
153,5,0.12,-0.6
153,6,2.15,-0.46
154,1,0,0
154,2,-1.0,-0.42
154,3,-1.01,-0.6
154,4,-1.37,-0.56
154,5,-0.34,0.04
154,6,-0.15,0.37
155,1,0,0
155,2,-0.28,-0.6
155,3,0.61,0.01
155,4,-0.23,-0.52
155,5,-0.2,-0.55
155,6,-0.36,-0.75
156,1,0,0
156,2,-0.61,-0.42
156,3,-0.02,-0.37
156,4,-0.28,-0.51
156,5,-0.42,-0.5
156,6,-0.17,-0.42
157,1,0,0
157,2,-0.55,-0.43
157,3,-0.53,-0.73
157,4,-1.21,-0.8
157,5,-0.31,-0.61
157,6,-0.04,-0.47
158,1,0,0
158,2,-0.58,-0.43
158,3,1.05,0.81
158,4,0.07,0.13
158,5,-0.33,-0.12
158,6,-0.22,0.21
159,1,0,0
159,2,1.09,1.5
159,3,1.76,1.63
159,4,0.95,1.99
159,5,-0.32,0.15
159,6,-0.58,-0.04
160,1,0,0
160,2,-0.54,-0.46
160,3,-0.55,-0.62
160,4,-0.95,-0.83
160,5,-0.52,-0.63
160,6,-0.59,-0.4
161,1,0,0
161,2,-0.1,-0.46
161,3,0.06,-0.19
161,4,3.4,0.28
161,5,6.01,1.18
161,6,2.67,0.56
162,1,0,0
162,2,-0.63,-0.32
162,3,-1.05,-0.79
162,4,1.53,-0.31
162,5,0.54,-0.39
162,6,2.02,-0.06
163,1,0,0
163,2,-0.64,-0.44
163,3,-0.68,-0.47
163,4,-0.08,0.5
163,5,-0.25,0.32
163,6,-0.47,-0.36
164,1,0,0
164,2,-1.21,-1.16
164,3,-0.67,-0.72
164,4,-0.77,-0.6
164,5,-0.58,-0.41
164,6,-0.64,-0.55
165,1,0,0
165,2,-0.86,-0.29
165,3,-0.56,-0.3
165,4,-0.57,-0.09
165,5,-0.48,0.31
165,6,-0.71,-0.33
166,1,0,0
166,2,-0.46,-0.41
166,3,-0.24,-0.97
166,4,-0.19,-0.3
