districtid,weekid,neighborhoodzscore,statezscore
101,1,0,0
101,2,0,0
101,3,0,0
101,4,0,0
101,5,0,0
101,6,0,0
101,7,-0.65,-0.24
101,8,-0.59,-0.29
101,9,-0.55,-0.29
101,10,-0.55,-0.35
101,11,-0.83,-0.38
101,12,-1.41,-0.42
101,13,-1.68,-0.38
101,14,-1.52,-0.37
101,15,-2.86,-0.45
101,16,-1.41,-0.47
101,17,-0.94,-0.42
101,18,-1.22,-0.44
101,19,-1.0,-0.39
101,20,-2.73,-0.45
101,21,-1.53,-0.48
101,22,-1.85,-0.44
101,23,-2.14,-0.48
101,24,-2.3,-0.55
101,25,-1.14,-0.5
102,1,0,0
102,2,0,0
102,3,0,0
102,4,0,0
102,5,0,0
102,6,0,0
102,7,9.58,13.83
102,8,11.24,10.56
102,9,11.11,3.67
102,10,1.69,0.72
102,11,0.08,0.4
102,12,0.01,0.96
102,13,0.16,0.9
102,14,0.13,0.86
102,15,-0.78,-0.1
102,16,-0.27,0.14
102,17,0.13,-0.0
102,18,0.01,-0.29
102,19,0.11,-0.29
102,20,1.14,-0.31
102,21,0.85,-0.3
102,22,0.38,-0.35
102,23,-0.06,-0.4
102,24,0.9,-0.31
102,25,2.34,-0.01
103,1,0,0
103,2,0,0
103,3,0,0
103,4,0,0
103,5,0,0
103,6,0,0
103,7,98.07,47.93
103,8,112.38,45.05
103,9,172.99,63.33
103,10,128.98,38.12
103,11,124.54,32.05
103,12,46.0,22.52
103,13,147.79,25.83
103,14,88.03,20.94
103,15,77.14,7.9
103,16,67.09,5.27
103,17,16.44,3.31
103,18,12.36,3.36
103,19,16.14,3.48
103,20,11.75,2.7
103,21,10.18,2.86
103,22,12.17,2.84
103,23,11.55,3.04
103,24,9.76,2.74
103,25,9.52,2.47
104,1,0,0
104,2,0,0
104,3,0,0
104,4,0,0
104,5,0,0
104,6,0,0
104,7,-1.1,-0.24
104,8,-0.85,-0.27
104,9,-0.87,-0.3
104,10,-0.78,-0.27
104,11,-0.73,-0.29
104,12,-0.71,-0.28
104,13,-0.75,-0.33
104,14,-0.77,-0.37
104,15,-0.72,-0.38
104,16,-0.71,-0.36
104,17,-0.74,-0.35
104,18,-0.74,-0.33
104,19,-0.57,-0.06
104,20,-0.45,0.15
104,21,-0.35,0.38
