weekid,method,spot,districtid
2,neighborhood,cold,101
3,neighborhood,cold,101
4,neighborhood,cold,101
5,neighborhood,cold,101
6,neighborhood,cold,101
7,neighborhood,cold,101
8,neighborhood,cold,101
9,neighborhood,cold,101
10,neighborhood,cold,101
11,neighborhood,cold,101
12,neighborhood,cold,101
13,neighborhood,cold,101
14,neighborhood,cold,101
15,neighborhood,cold,101
16,neighborhood,cold,101
17,neighborhood,cold,101
18,neighborhood,cold,101
19,neighborhood,cold,101
20,neighborhood,cold,101
21,neighborhood,cold,101
22,neighborhood,cold,101
23,neighborhood,cold,101
24,neighborhood,cold,101
25,neighborhood,cold,101
2,neighborhood,cold,102
3,neighborhood,cold,102
4,neighborhood,cold,102
5,neighborhood,cold,102
6,neighborhood,cold,102
7,neighborhood,hot,102
7,state,hot,102
8,neighborhood,hot,102
8,state,hot,102
9,neighborhood,hot,102
9,state,hot,102
10,neighborhood,hot,102
10,state,hot,102
11,neighborhood,cold,102
11,state,hot,102
12,neighborhood,cold,102
12,state,hot,102
13,neighborhood,cold,102
13,state,hot,102
14,neighborhood,cold,102
14,state,hot,102
15,neighborhood,cold,102
15,state,hot,102
16,neighborhood,cold,102
16,state,hot,102
17,neighborhood,cold,102
17,state,hot,102
18,neighborhood,cold,102
18,state,hot,102
19,neighborhood,cold,102
19,state,hot,102
20,neighborhood,hot,102
20,state,hot,102
21,neighborhood,cold,102
21,state,hot,102
22,neighborhood,cold,102
22,state,hot,102
23,neighborhood,cold,102
23,state,hot,102
24,neighborhood,cold,102
24,state,hot,102
25,neighborhood,hot,102
25,state,hot,102
2,neighborhood,cold,103
3,neighborhood,cold,103
4,neighborhood,cold,103
5,neighborhood,cold,103
6,neighborhood,cold,103
7,neighborhood,hot,103
7,state,hot,103
8,neighborhood,hot,103
8,state,hot,103
9,neighborhood,hot,103
9,state,hot,103
10,neighborhood,hot,103
10,state,hot,103
11,neighborhood,hot,103
11,state,hot,103
12,neighborhood,hot,103
12,state,hot,103
13,neighborhood,hot,103
13,state,hot,103
14,neighborhood,hot,103
14,state,hot,103
15,neighborhood,hot,103
15,state,hot,103
16,neighborhood,hot,103
16,state,hot,103
17,neighborhood,hot,103
17,state,hot,103
18,neighborhood,hot,103
18,state,hot,103
19,neighborhood,hot,103
19,state,hot,103
20,neighborhood,hot,103
20,state,hot,103
21,neighborhood,hot,103
21,state,hot,103
22,neighborhood,hot,103
22,state,hot,103
23,neighborhood,hot,103
23,state,hot,103
24,neighborhood,hot,103
24,state,hot,103
25,neighborhood,hot,103
25,state,hot,103
7,neighborhood,cold,104
8,neighborhood,cold,104
9,neighborhood,cold,104
10,neighborhood,cold,104
11,neighborhood,cold,104
12,neighborhood,cold,104
13,neighborhood,cold,104
14,neighborhood,cold,104
15,neighborhood,cold,104
16,neighborhood,cold,104
17,neighborhood,cold,104
18,neighborhood,cold,104
19,neighborhood,cold,104
20,neighborhood,cold,104
21,neighborhood,cold,104
22,neighborhood,cold,104
23,neighborhood,cold,104
24,neighborhood,cold,104
25,neighborhood,cold,104
2,neighborhood,cold,105
3,neighborhood,cold,105
4,neighborhood,cold,105
5,neighborhood,cold,105
6,neighborhood,cold,105
7,neighborhood,cold,105
8,neighborhood,cold,105
9,neighborhood,cold,105
10,neighborhood,cold,105
11,neighborhood,cold,105
12,neighborhood,cold,105
12,state,hot,105
13,neighborhood,cold,105
13,state,hot,105
14,neighborhood,cold,105
14,state,hot,105
15,neighborhood,cold,105
15,state,hot,105
16,neighborhood,cold,105
16,state,hot,105
17,neighborhood,cold,105
17,state,hot,105
18,neighborhood,cold,105
18,state,hot,105
19,neighborhood,cold,105
19,state,hot,105
20,neighborhood,cold,105
20,state,hot,105
21,neighborhood,cold,105
21,state,hot,105
22,neighborhood,cold,105
22,state,hot,105
23,neighborhood,cold,105
23,state,hot,105
24,neighborhood,cold,105
24,state,hot,105
25,neighborhood,cold,105
25,state,hot,105
2,neighborhood,cold,106
3,neighborhood,cold,106
4,neighborhood,cold,106
5,neighborhood,cold,106
6,neighborhood,cold,106
7,neighborhood,cold,106
8,neighborhood,cold,106
9,neighborhood,cold,106
10,neighborhood,cold,106
11,neighborhood,cold,106
12,neighborhood,cold,106
13,neighborhood,cold,106
14,neighborhood,cold,106
15,neighborhood,cold,106
16,neighborhood,cold,106
17,neighborhood,cold,106
18,neighborhood,cold,106
19,neighborhood,hot,106
20,neighborhood,cold,106
21,neighborhood,cold,106
21,state,hot,106
22,neighborhood,cold,106
22,state,hot,106
23,neighborhood,cold,106
23,state,hot,106
24,neighborhood,cold,106
24,state,hot,106
25,neighborhood,cold,106
25,state,hot,106
2,neighborhood,cold,107
3,neighborhood,cold,107
4,neighborhood,cold,107
5,neighborhood,cold,107
6,neighborhood,cold,107
7,neighborhood,hot,107
8,neighborhood,hot,107
9,neighborhood,hot,107
10,neighborhood,hot,107
11,neighborhood,hot,107
12,neighborhood,hot,107
13,neighborhood,hot,107
14,neighborhood,hot,107
15,neighborhood,hot,107
16,neighborhood,hot,107
17,neighborhood,hot,107
18,neighborhood,cold,107
19,neighborhood,cold,107
20,neighborhood,cold,107
21,neighborhood,cold,107
22,neighborhood,cold,107
23,neighborhood,cold,107
24,neighborhood,cold,107
25,neighborhood,cold,107
2,neighborhood,cold,108
3,neighborhood,cold,108
4,neighborhood,cold,108
5,neighborhood,cold,108
6,neighborhood,cold,108
7,neighborhood,cold,108
7,state,cold,108
8,neighborhood,cold,108
8,state,cold,108
9,neighborhood,cold,108
9,state,cold,108
10,neighborhood,cold,108
10,state,cold,108
11,neighborhood,hot,108
11,state,cold,108
12,neighborhood,cold,108
12,state,cold,108
13,neighborhood,hot,108
13,state,cold,108
14,neighborhood,cold,108
14,state,cold,108
15,neighborhood,hot,108
15,state,hot,108
16,neighborhood,hot,108
16,state,hot,108
17,neighborhood,hot,108
17,state,hot,108
18,neighborhood,cold,108
18,state,hot,108
19,neighborhood,cold,108
19,state,hot,108
20,neighborhood,cold,108
20,state,hot,108
21,neighborhood,hot,108
21,state,hot,108
22,neighborhood,hot,108
22,state,hot,108
23,neighborhood,hot,108
23,state,hot,108
24,neighborhood,hot,108
24,state,hot,108
25,neighborhood,cold,108
25,state,hot,108
2,neighborhood,cold,109
3,neighborhood,cold,109
4,neighborhood,cold,109
5,neighborhood,cold,109
6,neighborhood,cold,109
7,neighborhood,hot,109
8,neighborhood,cold,109
9,neighborhood,cold,109
10,neighborhood,hot,109
10,state,hot,109
11,neighborhood,cold,109
11,state,hot,109
12,neighborhood,cold,109
12,state,hot,109
13,neighborhood,cold,109
13,state,hot,109
14,neighborhood,cold,109
14,state,hot,109
15,neighborhood,cold,109
15,state,hot,109
16,neighborhood,cold,109
16,state,hot,109
17,neighborhood,cold,109
17,state,hot,109
18,neighborhood,cold,109
18,state,hot,109
19,neighborhood,cold,109
19,state,hot,109
20,neighborhood,cold,109
20,state,hot,109
21,neighborhood,hot,109
21,state,hot,109
22,neighborhood,hot,109
22,state,hot,109
23,neighborhood,hot,109
23,state,hot,109
24,neighborhood,hot,109
24,state,hot,109
25,neighborhood,hot,109
25,state,hot,109
3,neighborhood,cold,110
4,neighborhood,cold,110
5,neighborhood,cold,110
6,neighborhood,cold,110
7,neighborhood,cold,110
8,neighborhood,cold,110
9,neighborhood,cold,110
10,neighborhood,cold,110
11,neighborhood,cold,110
12,neighborhood,cold,110
13,neighborhood,cold,110
14,neighborhood,cold,110
15,neighborhood,cold,110
16,neighborhood,cold,110
17,neighborhood,cold,110
18,neighborhood,cold,110
19,neighborhood,cold,110
20,neighborhood,cold,110
21,neighborhood,cold,110
22,neighborhood,cold,110
23,neighborhood,cold,110
24,neighborhood,cold,110
25,neighborhood,cold,110
2,neighborhood,cold,111
3,neighborhood,cold,111
4,neighborhood,cold,111
5,neighborhood,cold,111
6,neighborhood,cold,111
7,neighborhood,cold,111
8,neighborhood,cold,111
9,neighborhood,cold,111
10,neighborhood,cold,111
11,neighborhood,cold,111
12,neighborhood,cold,111
13,neighborhood,cold,111
14,neighborhood,cold,111
15,neighborhood,cold,111
16,neighborhood,cold,111
17,neighborhood,cold,111
18,neighborhood,cold,111
19,neighborhood,cold,111
